MatchDate,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,country,neutral,HomeTeamCode,AwayTeamCode,WorldcupSeason,FifaRankingUpdateDate,HomeTeamRating,AwayTeamRating
6/1/2019,Australia,Jordan,0,1,United Arab Emirates,TRUE,AUS,JOR,2022,20/12/18,1436,1196
7/1/2019,South Korea,Philippines,1,0,United Arab Emirates,TRUE,KOR,PHI,2022,20/12/18,1405,1171
7/1/2019,Iran,Yemen,5,0,United Arab Emirates,TRUE,IRN,YEM,2022,20/12/18,1481,1106
8/1/2019,Saudi Arabia,North Korea,4,0,United Arab Emirates,TRUE,KSA,PRK,2022,20/12/18,1335,1196
9/1/2019,Qatar,Lebanon,2,0,United Arab Emirates,TRUE,QAT,LBN,2022,20/12/18,1258,1296
9/1/2019,Japan,Turkmenistan,3,2,United Arab Emirates,TRUE,JPN,TKM,2022,20/12/18,1414,1120
11/1/2019,Palestine,Australia,0,3,United Arab Emirates,TRUE,PLE,AUS,2022,20/12/18,1236,1436
12/1/2019,Vietnam,Iran,0,2,United Arab Emirates,TRUE,VIE,IRN,2022,20/12/18,1229,1481
12/1/2019,Lebanon,Saudi Arabia,0,2,United Arab Emirates,TRUE,LBN,KSA,2022,20/12/18,1296,1335
13/01/19,North Korea,Qatar,0,6,United Arab Emirates,TRUE,PRK,QAT,2022,20/12/18,1196,1258
13/01/19,Oman,Japan,0,1,United Arab Emirates,TRUE,OMA,JPN,2022,20/12/18,1295,1414
15/01/19,Australia,Syria,3,2,United Arab Emirates,TRUE,AUS,SYR,2022,20/12/18,1436,1322
16/01/19,South Korea,China PR,2,0,United Arab Emirates,TRUE,KOR,CHN,2022,20/12/18,1405,1317
16/01/19,Iran,Iraq,0,0,United Arab Emirates,TRUE,IRN,IRQ,2022,20/12/18,1481,1271
17/01/19,Saudi Arabia,Qatar,0,2,United Arab Emirates,TRUE,KSA,QAT,2022,20/12/18,1335,1258
17/01/19,Japan,Uzbekistan,2,1,United Arab Emirates,TRUE,JPN,UZB,2022,20/12/18,1414,1251
20/01/19,Iran,Oman,2,0,United Arab Emirates,TRUE,IRN,OMA,2022,20/12/18,1481,1295
21/01/19,Australia,Uzbekistan,0,0,United Arab Emirates,TRUE,AUS,UZB,2022,20/12/18,1436,1251
21/01/19,Japan,Saudi Arabia,1,0,United Arab Emirates,TRUE,JPN,KSA,2022,20/12/18,1414,1335
22/01/19,South Korea,Bahrain,2,1,United Arab Emirates,TRUE,KOR,BHR,2022,20/12/18,1405,1178
22/01/19,Qatar,Iraq,1,0,United Arab Emirates,TRUE,QAT,IRQ,2022,20/12/18,1258,1271
24/01/19,China PR,Iran,0,3,United Arab Emirates,TRUE,CHN,IRN,2022,20/12/18,1317,1481
24/01/19,Vietnam,Japan,0,1,United Arab Emirates,TRUE,VIE,JPN,2022,20/12/18,1229,1414
25/01/19,South Korea,Qatar,0,1,United Arab Emirates,TRUE,KOR,QAT,2022,20/12/18,1405,1258
25/01/19,United Arab Emirates,Australia,1,0,United Arab Emirates,FALSE,UAE,AUS,2022,20/12/18,1309,1436
27/01/19,United States,Panama,3,0,United States,FALSE,USA,PAN,2022,20/12/18,1497,1326
