MatchDate,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,country,neutral,HomeTeamCode,AwayTeamCode,FifaRankingUpdateDate,HomeTeamRating,AwayTeamRating
6/1/2019,Australia,Jordan,0,1,United Arab Emirates,TRUE,AUS,JOR,20/12/18,1436,1013
7/1/2019,South Korea,Philippines,1,0,United Arab Emirates,TRUE,KOR,PHI,20/12/18,1405,889
7/1/2019,Iran,Yemen,5,0,United Arab Emirates,TRUE,IRN,YEM,20/12/18,1481,576
8/1/2019,Saudi Arabia,North Korea,4,0,United Arab Emirates,TRUE,KSA,PRK,20/12/18,1335,663
9/1/2019,Qatar,Lebanon,2,0,United Arab Emirates,TRUE,QAT,LBN,20/12/18,1258,872
9/1/2019,Japan,Turkmenistan,3,2,United Arab Emirates,TRUE,JPN,TKM,20/12/18,1414,1060
11/1/2019,Palestine,Australia,0,3,United Arab Emirates,TRUE,PLE,AUS,20/12/18,1236,721
12/1/2019,Vietnam,Iran,0,2,United Arab Emirates,TRUE,VIE,IRN,20/12/18,1229,1034
12/1/2019,Lebanon,Saudi Arabia,0,2,United Arab Emirates,TRUE,LBN,KSA,20/12/18,1296,711
13/01/19,North Korea,Qatar,0,6,United Arab Emirates,TRUE,PRK,QAT,20/12/18,1196,1095
13/01/19,Oman,Japan,0,1,United Arab Emirates,TRUE,OMA,JPN,20/12/18,1295,1619
15/01/19,Australia,Syria,3,2,United Arab Emirates,TRUE,AUS,SYR,20/12/18,1436,1226
16/01/19,South Korea,China PR,2,0,United Arab Emirates,TRUE,KOR,CHN,20/12/18,1405,914
16/01/19,Iran,Iraq,0,0,United Arab Emirates,TRUE,IRN,IRQ,20/12/18,1481,1001
17/01/19,Saudi Arabia,Qatar,0,2,United Arab Emirates,TRUE,KSA,QAT,20/12/18,1335,748
17/01/19,Japan,Uzbekistan,2,1,United Arab Emirates,TRUE,JPN,UZB,20/12/18,1414,843
20/01/19,Iran,Oman,2,0,United Arab Emirates,TRUE,IRN,OMA,20/12/18,1481,920
21/01/19,Australia,Uzbekistan,0,0,United Arab Emirates,TRUE,AUS,UZB,20/12/18,1436,1218
21/01/19,Japan,Saudi Arabia,1,0,United Arab Emirates,TRUE,JPN,KSA,20/12/18,1414,473
22/01/19,South Korea,Bahrain,2,1,United Arab Emirates,TRUE,KOR,BHR,20/12/18,1405,670
22/01/19,Qatar,Iraq,1,0,United Arab Emirates,TRUE,QAT,IRQ,20/12/18,1258,510
24/01/19,China PR,Iran,0,3,United Arab Emirates,TRUE,CHN,IRN,20/12/18,1317,256
24/01/19,Vietnam,Japan,0,1,United Arab Emirates,TRUE,VIE,JPN,20/12/18,1229,998
25/01/19,South Korea,Qatar,0,1,United Arab Emirates,TRUE,KOR,QAT,20/12/18,1405,998
25/01/19,United Arab Emirates,Australia,1,0,United Arab Emirates,FALSE,UAE,AUS,20/12/18,1309,910
27/01/19,United States,Panama,3,0,United States,FALSE,USA,PAN,20/12/18,1497,354
28/01/19,Iran,Japan,0,3,United Arab Emirates,TRUE,IRN,JPN,20/12/18,1481,910
29/01/19,United Arab Emirates,Qatar,0,4,United Arab Emirates,FALSE,UAE,QAT,20/12/18,1309,295
1/2/2019,Japan,Qatar,1,3,United Arab Emirates,TRUE,JPN,QAT,20/12/18,1414,532
2/2/2019,United States,Costa Rica,2,0,United States,FALSE,USA,CRC,20/12/18,1497,651
20/03/19,Germany,Serbia,1,1,Germany,FALSE,GER,SRB,7/2/2019,1558,260
20/03/19,Wales,Trinidad and Tobago,1,0,Wales,FALSE,WAL,TRI,7/2/2019,1525,651
21/03/19,Kosovo,Denmark,2,2,Kosovo,FALSE,KOS,DEN,7/2/2019,1113,569
21/03/19,United Arab Emirates,Saudi Arabia,2,1,United Arab Emirates,FALSE,UAE,KSA,7/2/2019,1355,300
21/03/19,United States,Ecuador,1,0,United States,FALSE,USA,ECU,7/2/2019,1501,200
21/03/19,Netherlands,Belarus,4,0,Netherlands,FALSE,NED,BLR,7/2/2019,1560,569
21/03/19,Croatia,Azerbaijan,2,1,Croatia,FALSE,CRO,AZE,7/2/2019,1634,753
21/03/19,Austria,Poland,0,1,Austria,FALSE,AUT,POL,7/2/2019,1509,389
21/03/19,Belgium,Russia,3,1,Belgium,FALSE,BEL,RUS,7/2/2019,1727,651
22/03/19,Argentina,Venezuela,1,3,Spain,TRUE,ARG,VEN,7/2/2019,1582,569
22/03/19,Guatemala,Costa Rica,1,0,Guatemala,FALSE,GUA,CRC,7/2/2019,1061,651
22/03/19,South Korea,Bolivia,1,0,South Korea,FALSE,KOR,BOL,7/2/2019,1451,112
22/03/19,Mexico,Chile,3,1,United States,TRUE,MEX,CHI,7/2/2019,1540,522
22/03/19,England,Czech Republic,5,0,England,FALSE,ENG,CZE,7/2/2019,1631,360
22/03/19,Portugal,Ukraine,0,0,Portugal,FALSE,POR,UKR,7/2/2019,1614,605
22/03/19,Moldova,France,1,4,Moldova,FALSE,MDA,FRA,7/2/2019,979,1106
23/03/19,Brazil,Panama,1,1,Portugal,TRUE,BRA,PAN,7/2/2019,1676,1228
23/03/19,Georgia,Switzerland,0,2,Georgia,FALSE,GEO,SUI,7/2/2019,1269,1197
23/03/19,Spain,Norway,2,1,Spain,FALSE,ESP,NOR,7/2/2019,1591,1359
23/03/19,Senegal,Madagascar,2,0,Senegal,FALSE,SEN,MAD,7/2/2019,1505,506
23/03/19,Cameroon,Comoros,3,0,Cameroon,FALSE,CMR,COM,7/2/2019,1394,1026
23/03/19,Ghana,Kenya,1,0,Ghana,FALSE,GHA,KEN,7/2/2019,1412,1047
24/03/19,Netherlands,Germany,2,3,Netherlands,FALSE,NED,GER,7/2/2019,1560,740
24/03/19,Wales,Slovakia,1,0,Wales,FALSE,WAL,SVK,7/2/2019,1525,1053
24/03/19,Hungary,Croatia,2,1,Hungary,FALSE,HUN,CRO,7/2/2019,1412,609
