MatchDate,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,country,neutral,HomeTeamCode,AwayTeamCode,FifaRankingUpdateDate,HomeTeamRating,AwayTeamRating
24/03/19,Poland,Latvia,2,0,Poland,FALSE,POL,LVA,7/2/2019,1518,687
24/03/19,Cyprus,Belgium,0,2,Cyprus,FALSE,CYP,BEL,7/2/2019,1276,1489
25/03/19,Saudi Arabia,Equatorial Guinea,3,2,Saudi Arabia,FALSE,KSA,EQG,7/2/2019,1344,872
25/03/19,Montenegro,England,1,5,Montenegro,FALSE,MNE,ENG,7/2/2019,1427,451
25/03/19,Portugal,Serbia,1,1,Portugal,FALSE,POR,SRB,7/2/2019,1614,694
25/03/19,France,Iceland,4,0,France,FALSE,FRA,ISL,7/2/2019,1726,792
26/03/19,Algeria,Tunisia,1,0,Algeria,FALSE,ALG,TUN,7/2/2019,1349,494
26/03/19,Costa Rica,Jamaica,1,0,Costa Rica,FALSE,CRC,JAM,7/2/2019,1461,690
26/03/19,Czech Republic,Brazil,1,3,Czech Republic,FALSE,CZE,BRA,7/2/2019,1435,554
26/03/19,Ghana,Mauritania,3,1,Ghana,FALSE,GHA,MTN,7/2/2019,1412,1161
26/03/19,Honduras,Ecuador,0,0,United States,TRUE,HON,ECU,7/2/2019,1369,964
26/03/19,South Korea,Colombia,2,1,South Korea,FALSE,KOR,COL,7/2/2019,1451,931
26/03/19,Morocco,Argentina,0,1,Morocco,FALSE,MAR,ARG,7/2/2019,1440,792
26/03/19,Paraguay,Mexico,2,4,United States,TRUE,PAR,MEX,7/2/2019,1476,1106
26/03/19,Senegal,Mali,2,1,Senegal,FALSE,SEN,MLI,7/2/2019,1505,494
26/03/19,United States,Chile,1,1,United States,FALSE,USA,CHI,7/2/2019,1501,862
26/03/19,Switzerland,Denmark,3,3,Switzerland,FALSE,SUI,DEN,7/2/2019,1599,1161
26/03/19,Malta,Spain,0,2,Malta,FALSE,MLT,ESP,7/2/2019,926,1062
1/6/2019,Venezuela,Ecuador,1,1,United States,TRUE,VEN,ECU,4/4/2019,1484,1489
2/6/2019,France,Bolivia,2,0,France,FALSE,FRA,BOL,4/4/2019,1734,687
5/6/2019,Brazil,Qatar,2,0,Brazil,FALSE,BRA,QAT,4/4/2019,1676,1053
5/6/2019,Mexico,Venezuela,3,1,United States,TRUE,MEX,VEN,4/4/2019,1549,451
5/6/2019,Peru,Costa Rica,1,0,Peru,FALSE,PER,CRC,4/4/2019,1516,1026
5/6/2019,United States,Jamaica,0,1,United States,FALSE,USA,JAM,4/4/2019,1506,554
5/6/2019,Portugal,Switzerland,3,1,Portugal,FALSE,POR,SUI,4/4/2019,1607,1002
6/6/2019,Iran,Syria,5,0,Iran,FALSE,IRN,SYR,4/4/2019,1516,1185
6/6/2019,England,Netherlands,1,3,Portugal,TRUE,ENG,NED,4/4/2019,1647,609
7/6/2019,Ukraine,Serbia,5,0,Ukraine,FALSE,UKR,SRB,4/4/2019,1493,1359
7/6/2019,Denmark,Republic of Ireland,1,1,Denmark,FALSE,DEN,IRL,4/4/2019,1586,605
7/6/2019,Faroe Islands,Spain,1,4,Faroe Islands,FALSE,FRO,ESP,4/4/2019,1213,872
7/6/2019,North Macedonia,Poland,0,1,North Macedonia,FALSE,MKD,POL,4/4/2019,1350,593
7/6/2019,Argentina,Nicaragua,5,1,Argentina,FALSE,ARG,NCA,4/4/2019,1580,575
7/6/2019,South Korea,Australia,1,0,South Korea,FALSE,KOR,AUS,4/4/2019,1462,445
7/6/2019,Tunisia,Iraq,2,0,Tunisia,FALSE,TUN,IRQ,4/4/2019,1491,657
7/6/2019,Uruguay,Panama,3,0,Uruguay,FALSE,URU,PAN,4/4/2019,1613,381
8/6/2019,Belarus,Germany,0,2,Belarus,FALSE,BLR,GER,4/4/2019,1301,636
8/6/2019,Croatia,Wales,2,1,Croatia,FALSE,CRO,WAL,4/4/2019,1621,711
8/6/2019,Turkey,France,2,0,Turkey,FALSE,TUR,FRA,4/4/2019,1457,1012
8/6/2019,Belgium,Kazakhstan,3,0,Belgium,FALSE,BEL,KAZ,4/4/2019,1737,462
9/6/2019,Brazil,Honduras,7,0,Brazil,FALSE,BRA,HON,4/4/2019,1676,776
9/6/2019,Cameroon,Zambia,2,1,Cameroon,FALSE,CMR,ZAM,4/4/2019,1399,931
9/6/2019,Mexico,Ecuador,3,2,United States,TRUE,MEX,ECU,4/4/2019,1549,727
9/6/2019,United States,Venezuela,0,3,United States,FALSE,USA,VEN,4/4/2019,1506,530
9/6/2019,Switzerland,England,0,0,Portugal,TRUE,SUI,ENG,4/4/2019,1604,302
9/6/2019,Portugal,Netherlands,1,0,Portugal,FALSE,POR,NED,4/4/2019,1607,735
10/6/2019,Serbia,Lithuania,4,1,Serbia,FALSE,SRB,LTU,4/4/2019,1484,837
10/6/2019,Denmark,Georgia,5,1,Denmark,FALSE,DEN,GEO,4/4/2019,1586,603
10/6/2019,Spain,Sweden,3,0,Spain,FALSE,ESP,SWE,4/4/2019,1601,493
10/6/2019,Poland,Israel,4,0,Poland,FALSE,POL,ISR,4/4/2019,1535,681
11/6/2019,Germany,Estonia,8,0,Germany,FALSE,GER,EST,4/4/2019,1570,825
11/6/2019,Hungary,Wales,1,0,Hungary,FALSE,HUN,WAL,4/4/2019,1419,947
11/6/2019,Andorra,France,0,4,Andorra,FALSE,AND,FRA,4/4/2019,1099,1012
11/6/2019,Belgium,Scotland,3,0,Belgium,FALSE,BEL,SCO,4/4/2019,1737,688
11/6/2019,Croatia,Tunisia,1,2,Croatia,FALSE,CRO,TUN,4/4/2019,1621,700
11/6/2019,South Korea,Iran,1,1,South Korea,FALSE,KOR,IRN,4/4/2019,1462,636
12/6/2019,Morocco,Gambia,0,1,Morocco,FALSE,MAR,GAM,4/4/2019,1429,635
14/06/19,Cameroon,Mali,1,1,Qatar,TRUE,CMR,MLI,4/4/2019,1399,735
14/06/19,Brazil,Bolivia,3,0,Brazil,FALSE,BRA,BOL,4/4/2019,1676,1054
15/06/19,Argentina,Colombia,0,2,Brazil,TRUE,ARG,COL,14/06/19,1582,1306
15/06/19,Ghana,South Africa,0,0,United Arab Emirates,TRUE,GHA,RSA,14/06/19,1423,1544
16/06/19,Paraguay,Qatar,2,2,Brazil,TRUE,PAR,QAT,14/06/19,1468,608
16/06/19,Uruguay,Ecuador,4,0,Brazil,TRUE,URU,ECU,14/06/19,1615,1106
16/06/19,Morocco,Zambia,2,3,Morocco,FALSE,MAR,ZAM,14/06/19,1429,1179
16/06/19,Senegal,Nigeria,1,0,Egypt,TRUE,SEN,NGA,14/06/19,1515,1384
17/06/19,Japan,Chile,0,4,Brazil,TRUE,JPN,CHI,14/06/19,1496,837
17/06/19,Tunisia,Burundi,2,1,Tunisia,FALSE,TUN,BDI,14/06/19,1501,1146
18/06/19,Brazil,Venezuela,0,0,Brazil,FALSE,BRA,VEN,14/06/19,1681,681
19/06/19,Colombia,Qatar,1,0,Brazil,TRUE,COL,QAT,14/06/19,1580,714
19/06/19,Argentina,Paraguay,1,1,Brazil,TRUE,ARG,PAR,14/06/19,1582,574
20/06/19,Uruguay,Japan,2,2,Brazil,TRUE,URU,JPN,14/06/19,1615,635
21/06/19,Ecuador,Chile,1,2,Brazil,TRUE,ECU,CHI,14/06/19,1375,636
22/06/19,Brazil,Peru,5,0,Brazil,FALSE,BRA,PER,14/06/19,1681,858
23/06/19,Senegal,Tanzania,2,0,Egypt,TRUE,SEN,TAN,14/06/19,1515,381
23/06/19,Morocco,Namibia,1,0,Egypt,TRUE,MAR,NAM,14/06/19,1429,499
23/06/19,Qatar,Argentina,0,2,Brazil,TRUE,QAT,ARG,14/06/19,1396,548
24/06/19,Tunisia,Angola,1,1,Egypt,TRUE,TUN,ANG,14/06/19,1501,603
24/06/19,Chile,Uruguay,0,1,Brazil,TRUE,CHI,URU,14/06/19,1561,465
24/06/19,Ecuador,Japan,1,1,Brazil,TRUE,ECU,JPN,14/06/19,1375,838
25/06/19,Cameroon,Guinea-Bissau,2,0,Egypt,TRUE,CMR,GNB,14/06/19,1404,521
25/06/19,Ghana,Benin,2,2,Egypt,TRUE,GHA,BEN,14/06/19,1423,708
27/06/19,Senegal,Algeria,0,1,Egypt,TRUE,SEN,ALG,14/06/19,1515,1135
27/06/19,Brazil,Paraguay,0,0,Brazil,FALSE,BRA,PAR,14/06/19,1681,536
28/06/19,Morocco,Ivory Coast,1,0,Egypt,TRUE,MAR,CIV,14/06/19,1429,989
28/06/19,Tunisia,Mali,1,1,Egypt,TRUE,TUN,MLI,14/06/19,1501,1125
28/06/19,Venezuela,Argentina,0,2,Brazil,TRUE,VEN,ARG,14/06/19,1485,718
29/06/19,Cameroon,Ghana,0,0,Egypt,TRUE,CMR,GHA,14/06/19,1404,686
29/06/19,Uruguay,Peru,0,0,Brazil,TRUE,URU,PER,14/06/19,1615,1126
1/7/2019,Kenya,Senegal,0,3,Egypt,TRUE,KEN,SEN,14/06/19,1207,873
1/7/2019,South Africa,Morocco,0,1,Egypt,TRUE,RSA,MAR,14/06/19,1335,1431
2/7/2019,Mauritania,Tunisia,0,0,Egypt,TRUE,MTN,TUN,14/06/19,1210,838
2/7/2019,Benin,Cameroon,0,0,Egypt,TRUE,BEN,CMR,14/06/19,1273,884
2/7/2019,Guinea-Bissau,Ghana,0,2,Egypt,TRUE,GNB,GHA,14/06/19,1158,773
2/7/2019,Brazil,Argentina,2,0,Brazil,FALSE,BRA,ARG,14/06/19,1681,239
5/7/2019,Morocco,Benin,1,1,Egypt,TRUE,MAR,BEN,14/06/19,1429,465
5/7/2019,Uganda,Senegal,0,1,Egypt,TRUE,UGA,SEN,14/06/19,1299,1018
6/7/2019,Nigeria,Cameroon,3,2,Egypt,TRUE,NGA,CMR,14/06/19,1433,708
6/7/2019,Argentina,Chile,2,1,Brazil,TRUE,ARG,CHI,14/06/19,1582,1126
7/7/2019,Brazil,Peru,3,1,Brazil,FALSE,BRA,PER,14/06/19,1681,718
8/7/2019,Ghana,Tunisia,1,1,Egypt,TRUE,GHA,TUN,14/06/19,1423,908
10/7/2019,Senegal,Benin,1,0,Egypt,TRUE,SEN,BEN,14/06/19,1515,1051
11/7/2019,Madagascar,Tunisia,0,3,Egypt,TRUE,MAD,TUN,14/06/19,1198,618
14/07/19,Senegal,Tunisia,1,0,Egypt,TRUE,SEN,TUN,14/06/19,1515,751
17/07/19,Tunisia,Nigeria,0,1,Egypt,TRUE,TUN,NGA,14/06/19,1501,989
19/07/19,Senegal,Algeria,0,1,Egypt,TRUE,SEN,ALG,14/06/19,1515,1199
28/07/19,Liberia,Senegal,1,0,Liberia,FALSE,LBR,SEN,25/07/19,1044,544
3/8/2019,Senegal,Liberia,3,0,Senegal,FALSE,SEN,LBR,25/07/19,1550,571
5/9/2019,Argentina,Chile,0,0,United States,TRUE,ARG,CHI,25/07/19,1610,1051
5/9/2019,South Korea,Georgia,2,2,Turkey,TRUE,KOR,GEO,25/07/19,1467,521
5/9/2019,Peru,Ecuador,0,1,United States,TRUE,PER,ECU,25/07/19,1552,838
5/9/2019,Saudi Arabia,Mali,1,1,Saudi Arabia,FALSE,KSA,MLI,25/07/19,1342,649
5/9/2019,Republic of Ireland,Switzerland,1,1,Republic of Ireland,FALSE,IRL,SUI,25/07/19,1489,686
5/9/2019,Gibraltar,Denmark,0,6,Gibraltar,FALSE,GIB,DEN,25/07/19,893,465
5/9/2019,Romania,Spain,1,2,Romania,FALSE,ROU,ESP,25/07/19,1497,1126
5/9/2019,Qatar,Afghanistan,6,0,Qatar,FALSE,QAT,AFG,25/07/19,1375,718
6/9/2019,Brazil,Colombia,2,2,United States,TRUE,BRA,COL,25/07/19,1726,1125
6/9/2019,Costa Rica,Uruguay,1,2,Costa Rica,FALSE,CRC,URU,25/07/19,1445,945
6/9/2019,Morocco,Burkina Faso,1,1,Morocco,FALSE,MAR,BFA,25/07/19,1461,884
6/9/2019,Tunisia,Mauritania,1,0,Tunisia,FALSE,TUN,MTN,25/07/19,1496,908
6/9/2019,United States,Mexico,0,3,United States,FALSE,USA,MEX,25/07/19,1548,1199
6/9/2019,Germany,Netherlands,2,4,Germany,FALSE,GER,NED,25/07/19,1582,910
6/9/2019,Wales,Azerbaijan,2,1,Wales,FALSE,WAL,AZE,25/07/19,1514,989
6/9/2019,Slovakia,Croatia,0,4,Slovakia,FALSE,SVK,CRO,25/07/19,1491,880
6/9/2019,Slovenia,Poland,2,0,Slovenia,FALSE,SVN,POL,25/07/19,1363,571
6/9/2019,San Marino,Belgium,0,4,San Marino,FALSE,SMR,BEL,25/07/19,839,838
7/9/2019,England,Bulgaria,4,0,England,FALSE,ENG,BUL,25/07/19,1652,986
7/9/2019,Serbia,Portugal,2,4,Serbia,FALSE,SRB,POR,25/07/19,1477,1018
7/9/2019,France,Albania,4,1,France,FALSE,FRA,ALB,25/07/19,1718,649
8/9/2019,Switzerland,Gibraltar,4,0,Switzerland,FALSE,SUI,GIB,25/07/19,1605,686
8/9/2019,Georgia,Denmark,0,0,Georgia,FALSE,GEO,DEN,25/07/19,1255,1274
8/9/2019,Spain,Faroe Islands,4,0,Egypt,TRUE,ESP,FRO,25/07/19,1617,1125
9/9/2019,Wales,Belarus,1,0,Wales,FALSE,WAL,BLR,25/07/19,1514,1198
9/9/2019,Northern Ireland,Germany,0,2,Northern Ireland,FALSE,NIR,GER,25/07/19,1496,1241
9/9/2019,Estonia,Netherlands,0,4,Estonia,FALSE,EST,NED,25/07/19,1228,945
9/9/2019,Azerbaijan,Croatia,1,1,Azerbaijan,FALSE,AZE,CRO,25/07/19,1188,1558
9/9/2019,Poland,Austria,0,0,Poland,FALSE,POL,AUT,25/07/19,1550,880
9/9/2019,Scotland,Belgium,0,4,Scotland,FALSE,SCO,BEL,25/07/19,1433,1431
10/9/2019,Argentina,Mexico,4,0,United States,TRUE,ARG,MEX,25/07/19,1610,884
10/9/2019,Brazil,Peru,0,1,United States,TRUE,BRA,PER,25/07/19,1726,1183
10/9/2019,Ecuador,Bolivia,3,0,Ecuador,FALSE,ECU,BOL,25/07/19,1359,986
10/9/2019,Ivory Coast,Tunisia,2,1,France,TRUE,CIV,TUN,25/07/19,1394,910
10/9/2019,Morocco,Niger,1,0,Morocco,FALSE,MAR,NIG,25/07/19,1461,1298
10/9/2019,United States,Uruguay,1,1,United States,FALSE,USA,URU,25/07/19,1548,1241
10/9/2019,England,Kosovo,5,3,England,FALSE,ENG,KOS,25/07/19,1652,1274
10/9/2019,Luxembourg,Serbia,1,3,Luxembourg,FALSE,LUX,SRB,25/07/19,1265,1126
10/9/2019,Lithuania,Portugal,1,5,Lithuania,FALSE,LTU,POR,25/07/19,1101,1051
10/9/2019,France,Andorra,3,0,France,FALSE,FRA,AND,25/07/19,1718,2041
10/9/2019,Kuwait,Australia,0,3,Kuwait,FALSE,KUW,AUS,25/07/19,1022,1816
10/9/2019,Hong Kong,Iran,0,2,Hong Kong,FALSE,HKG,IRN,25/07/19,1074,2087
10/9/2019,Yemen,Saudi Arabia,2,2,Bahrain,TRUE,YEM,KSA,25/07/19,1073,2099
10/9/2019,Qatar,India,0,0,Qatar,FALSE,QAT,IND,25/07/19,1375,2164
10/9/2019,Myanmar,Japan,0,2,Myanmar,FALSE,MYA,JPN,25/07/19,1084,2124
10/9/2019,Turkmenistan,South Korea,0,2,Turkmenistan,FALSE,TKM,KOR,25/07/19,1091,2099
21/09/19,Algeria,Morocco,0,0,Algeria,FALSE,ALG,MAR,19/09/19,1466,2036
21/09/19,Tunisia,Libya,1,0,Tunisia,FALSE,TUN,LBY,19/09/19,1493,2124
21/09/19,Senegal,Guinea,1,0,Senegal,FALSE,SEN,GUI,19/09/19,1546,2099
22/09/19,Ghana,Burkina Faso,0,1,Ghana,FALSE,GHA,BFA,19/09/19,1429,2099
2/10/2019,Mexico,Trinidad and Tobago,2,0,Mexico,FALSE,MEX,TRI,19/09/19,1603,2036
9/10/2019,Germany,Argentina,2,2,Germany,FALSE,GER,ARG,19/09/19,1580,1580
10/10/2019,Netherlands,Northern Ireland,3,1,Netherlands,FALSE,NED,NIR,19/09/19,1586,1726
10/10/2019,Croatia,Hungary,3,0,Croatia,FALSE,CRO,HUN,19/09/19,1625,1484
10/10/2019,Slovakia,Wales,1,1,Slovakia,FALSE,SVK,WAL,19/09/19,1493,1535
10/10/2019,Latvia,Poland,0,3,Latvia,FALSE,LVA,POL,19/09/19,1075,1643
10/10/2019,Belgium,San Marino,9,0,Belgium,FALSE,BEL,SMR,19/09/19,1752,1538
10/10/2019,Brazil,Senegal,1,1,Singapore,TRUE,BRA,SEN,19/09/19,1719,1459
10/10/2019,Serbia,Paraguay,1,0,Serbia,FALSE,SRB,PAR,19/09/19,1476,1064
10/10/2019,Australia,Nepal,5,0,Australia,FALSE,AUS,NEP,19/09/19,1441,1400
10/10/2019,Iran,Cambodia,14,0,Iran,FALSE,IRN,CAM,19/09/19,1522,1471
10/10/2019,Saudi Arabia,Singapore,3,0,Saudi Arabia,FALSE,KSA,SGP,19/09/19,1336,1627
10/10/2019,Bangladesh,Qatar,0,2,Bangladesh,FALSE,BAN,QAT,19/09/19,912,1320
10/10/2019,Japan,Mongolia,6,0,Japan,FALSE,JPN,MNG,19/09/19,1490,1723
10/10/2019,South Korea,Sri Lanka,8,0,South Korea,FALSE,KOR,SRI,19/09/19,1470,1657
11/10/2019,Czech Republic,England,2,1,Czech Republic,FALSE,CZE,ENG,19/09/19,1441,1471
11/10/2019,Portugal,Luxembourg,3,0,Portugal,FALSE,POR,LUX,19/09/19,1643,1580
11/10/2019,Iceland,France,0,1,Iceland,FALSE,ISL,FRA,19/09/19,1461,1416
11/10/2019,Morocco,Libya,1,1,Morocco,FALSE,MAR,LBY,19/09/19,1463,1540
11/10/2019,Uruguay,Peru,1,0,Uruguay,FALSE,URU,PER,19/09/19,1639,1536
12/10/2019,Denmark,Switzerland,1,0,Denmark,FALSE,DEN,SUI,19/09/19,1584,1535
12/10/2019,Norway,Spain,1,1,Norway,FALSE,NOR,ESP,19/09/19,1435,1532
12/10/2019,Tunisia,Cameroon,0,0,Tunisia,FALSE,TUN,CMR,19/09/19,1493,1490
13/10/19,Belarus,Netherlands,1,2,Belarus,FALSE,BLR,NED,19/09/19,1294,1378
13/10/19,Estonia,Germany,0,3,Estonia,FALSE,EST,GER,19/09/19,1212,1723
13/10/19,Wales,Croatia,1,1,Wales,FALSE,WAL,CRO,19/09/19,1522,1643
13/10/19,Poland,North Macedonia,2,0,Poland,FALSE,POL,MKD,19/09/19,1532,1574
13/10/19,Kazakhstan,Belgium,0,2,Kazakhstan,FALSE,KAZ,BEL,19/09/19,1169,1064
13/10/19,Brazil,Nigeria,1,1,Singapore,TRUE,BRA,NGA,19/09/19,1719,1597
13/10/19,Ecuador,Argentina,1,6,Spain,TRUE,ECU,ARG,19/09/19,1370,1570
14/10/19,Bulgaria,England,0,6,Bulgaria,FALSE,BUL,ENG,19/09/19,1377,1484
14/10/19,Lithuania,Serbia,1,2,Lithuania,FALSE,LTU,SRB,19/09/19,1094,1230
14/10/19,Ukraine,Portugal,2,1,Ukraine,FALSE,UKR,POR,19/09/19,1516,1560
14/10/19,France,Turkey,1,1,France,FALSE,FRA,TUR,19/09/19,1725,1471
15/10/19,Switzerland,Republic of Ireland,2,0,Switzerland,FALSE,SUI,IRL,19/09/19,1604,1332
15/10/19,Sweden,Spain,1,1,Sweden,FALSE,SWE,ESP,19/09/19,1560,1606
15/10/19,Denmark,Luxembourg,4,0,Denmark,FALSE,DEN,LUX,19/09/19,1584,1463
15/10/19,Morocco,Gabon,2,3,Morocco,FALSE,MAR,GAB,19/09/19,1463,1272
15/10/19,Peru,Uruguay,1,1,Peru,FALSE,PER,URU,19/09/19,1551,1461
15/10/19,Taiwan,Australia,1,7,Taiwan,FALSE,TPE,AUS,19/09/19,1107,1460
15/10/19,Bahrain,Iran,1,0,Bahrain,FALSE,BHR,IRN,19/09/19,1206,1567
15/10/19,Palestine,Saudi Arabia,0,0,Palestine,FALSE,PLE,KSA,19/09/19,1223,1597
15/10/19,Qatar,Oman,2,1,Qatar,FALSE,QAT,OMA,19/09/19,1377,1598
15/10/19,Tajikistan,Japan,0,3,Tajikistan,FALSE,TJK,JPN,19/09/19,1174,1612
15/10/19,North Korea,South Korea,0,0,North Korea,FALSE,PRK,KOR,19/09/19,1176,1632
19/10/19,Morocco,Algeria,3,0,Morocco,FALSE,MAR,ALG,19/09/19,1463,1378
20/10/19,Libya,Tunisia,1,2,Libya,FALSE,LBY,TUN,19/09/19,1212,1663
20/10/19,Guinea,Senegal,1,0,Guinea,FALSE,GUI,SEN,19/09/19,1325,1129
20/10/19,Burkina Faso,Ghana,0,0,Burkina Faso,FALSE,BFA,GHA,19/09/19,1381,1568
13/11/19,Cameroon,Cape Verde,0,0,Cameroon,FALSE,CMR,CPV,24/10/19,1409,1581
13/11/19,Senegal,Congo,2,0,Senegal,FALSE,SEN,CGO,24/10/19,1546,1526
14/11/19,Ghana,South Africa,2,0,Ghana,FALSE,GHA,RSA,24/10/19,1426,1463
14/11/19,England,Montenegro,7,0,England,FALSE,ENG,MNE,24/10/19,1651,1606
14/11/19,Portugal,Lithuania,6,0,Portugal,FALSE,POR,LTU,24/10/19,1632,1598
14/11/19,Serbia,Luxembourg,3,2,Serbia,FALSE,SRB,LUX,24/10/19,1485,1612
14/11/19,France,Moldova,2,1,France,FALSE,FRA,MDA,24/10/19,1726,1189
14/11/19,Ecuador,Trinidad and Tobago,3,0,Ecuador,FALSE,ECU,TRI,24/10/19,1368,1431
14/11/19,Qatar,Singapore,2,0,Qatar,FALSE,QAT,SGP,24/10/19,1391,1272
14/11/19,Jordan,Australia,0,1,Jordan,FALSE,JOR,AUS,24/10/19,1236,1568
14/11/19,Iraq,Iran,2,1,Jordan,TRUE,IRQ,IRN,24/10/19,1327,1536
